dataset,grain,transfer_regime,unit_slice,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag,activation_frequency,dynamic_cost_plain,dynamic_cost_limited,dynamic_cost_difference,PEG_plain,PEG_limited,PEG_difference,volatility_plain,volatility_limited,volatility_difference,fill_rate_plain,fill_rate_limited,fill_rate_difference,backlog_plain,backlog_limited,backlog_difference
M5,department_store,fully_in_domain_tuned,all_units,True,True,False,True,1.0,2,16,0.125,0.0,0.0,True,True,0.011160714285714284,21618.435350975764,21618.435350975764,0.0,0.7299107142857143,0.7299107142857143,0.0,878.8224152912395,878.8224152912395,0.0,0.37391166062850306,0.37391166062850306,0.0,154.58558221295598,154.58558221295598,0.0
M5,department_store,fully_in_domain_tuned,binding_units,True,True,False,True,1.0,2,16,0.125,0.0,0.0,True,True,0.08928571428571427,9195.869060649442,9195.869060649442,0.0,0.875,0.875,0.0,30.21575049623555,30.21575049623555,0.0,0.14238967201112715,0.14238967201112715,0.0,131.39268884403313,131.39268884403313,0.0
M5,department_store,fully_in_domain_tuned,nonbinding_units,False,False,False,True,1.0,2,16,0.125,0.0,0.0,True,True,0.0,23393.087678165237,23393.087678165237,0.0,0.7091836734693878,0.7091836734693878,0.0,1000.0519388333829,1000.0519388333829,0.0,0.40698623043098536,0.40698623043098536,0.0,157.8988526942307,157.8988526942307,0.0
M5,department_store,strict_frozen,all_units,True,True,False,True,1.0,4,16,0.25,0.0,0.0,True,True,0.04464285714285714,21618.435350975764,21618.435350975764,0.0,0.7299107142857143,0.7299107142857143,0.0,878.8224152912395,878.8224152912395,0.0,0.37391166062850306,0.37391166062850306,0.0,154.58558221295598,154.58558221295598,0.0
M5,department_store,strict_frozen,binding_units,True,True,False,True,1.0,4,16,0.25,0.0,0.0,True,True,0.17857142857142855,8220.365370571675,8220.365370571675,0.0,0.8660714285714286,0.8660714285714286,0.0,37.41870114097492,37.41870114097492,0.0,0.1715409999436565,0.1715409999436565,0.0,74.74977957259868,74.74977957259868,0.0
M5,department_store,strict_frozen,nonbinding_units,False,False,False,True,1.0,4,16,0.25,0.0,0.0,True,True,0.0,26084.45867777713,26084.45867777713,0.0,0.6845238095238094,0.6845238095238094,0.0,1159.2903200079943,1159.2903200079943,0.0,0.4413685475234519,0.4413685475234519,0.0,181.19751642640844,181.19751642640844,0.0
M5,item_store,family_frozen_parameter_recalibrated,all_units,True,True,False,True,0.97,18,100,0.18,19.924481162099532,3.586406609177916,False,False,0.02571428571428571,7437.430337093008,7441.0167437021855,3.586406609177916,0.6810714285714284,0.6799999999999998,-0.0010714285714285726,120.60899510345644,120.56998949175829,-0.03900561169812747,0.4202160908936347,0.4199683265032553,-0.0002477643903794502,64.90376776890925,65.14586727289662,0.24209950398737007
M5,item_store,family_frozen_parameter_recalibrated,binding_units,True,True,False,True,0.8333333333333334,18,100,0.18,19.924481162099532,19.924481162099532,False,False,0.14285714285714285,9306.665299622855,9326.589780784954,19.924481162099532,0.7103174603174602,0.7043650793650794,-0.005952380952380959,46.82519759762366,46.608499754856275,-0.2166978427673748,0.2422054368735086,0.24082896803806722,-0.00137646883544139,129.78732249849273,131.13231974286703,1.3449972443742781
M5,item_store,family_frozen_parameter_recalibrated,nonbinding_units,False,False,False,True,1.0,18,100,0.18,19.924481162099532,0.0,True,True,0.0,7027.110467269384,7027.110467269384,0.0,0.674651567944251,0.674651567944251,0.0,136.80543845839532,136.80543845839532,0.0,0.4592916003126869,0.4592916003126869,0.0,50.66103624290312,50.66103624290312,0.0
M5,item_store,fully_in_domain_tuned,all_units,True,True,False,True,0.97,18,100,0.18,19.924481162099532,3.586406609177916,False,False,0.02571428571428571,7437.430337093008,7441.0167437021855,3.586406609177916,0.6810714285714284,0.6799999999999998,-0.0010714285714285726,120.60899510345644,120.56998949175829,-0.03900561169812747,0.4202160908936347,0.4199683265032553,-0.0002477643903794502,64.90376776890925,65.14586727289662,0.24209950398737007
