dataset,grain,planning_unit,transfer_regime,strategy,WAPE,intermittency,total_holding_cost,total_shortage_cost,total_order_change_cost,total_expedite_cost,total_switching_cost,total_dynamic_cost,fill_rate,average_on_hand_inventory,ending_backlog,total_lost_sales,execution_violation_units,planning_execution_gap_rate,plan_volatility,switch_count,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag
M5,item_store,FOODS_3_226__WI_1,strict_frozen,simple_ensemble,0.2038883144173769,low,376.2795150689278,3165.523102236112,12.507260221852643,0.0,0.0,3554.309877526892,0.5451557288586497,13.438554109604564,4.3726010156564,0.0,728.2452997789286,0.6785714285714286,250.14520443705285,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_1,strict_frozen,simple_ensemble_rate_limited,0.2038883144173769,low,376.2795150689278,3165.523102236112,12.507260221852643,0.0,0.0,3554.309877526892,0.5451557288586497,13.438554109604564,4.3726010156564,0.0,728.2452997789286,0.6785714285714286,250.14520443705285,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_1,strict_frozen,best_single_model_rate_limited,0.2620079899724548,low,396.3398862572172,8362.032767697176,6.518482645447925,0.0,0.0,8764.89113659984,0.3147439512756739,14.154995937757755,0.0,0.0,1753.4804057467868,0.75,130.3696529089585,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_1,strict_frozen,operationally_weighted_ensemble,0.2038883144173769,low,376.2795150689278,3165.523102236112,12.507260221852643,0.0,0.0,3554.309877526892,0.5451557288586497,13.438554109604564,4.3726010156564,0.0,728.2452997789286,0.6785714285714286,250.14520443705285,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_2,strict_frozen,accuracy_first,0.1821717954200668,low,314.54412806156995,3262.7626895014205,9.102306434422346,0.0,0.0,3586.4091239974127,0.5654022838069299,11.23371885934178,0.0,0.0,632.3312396946661,0.6428571428571429,182.0461286884469,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_2,strict_frozen,accuracy_rate_limited,0.1821717954200668,low,314.54412806156995,3262.7626895014205,9.102306434422346,0.0,0.0,3586.4091239974127,0.5654022838069299,11.23371885934178,0.0,0.0,632.3312396946661,0.6428571428571429,182.0461286884469,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_2,strict_frozen,simple_ensemble,0.170490425362571,low,276.45289770054217,2064.6540717954404,13.301655180121308,0.0,0.0,2354.4086246761044,0.673379774366679,9.873317775019364,0.0,0.0,357.5756455686171,0.5714285714285714,266.0331036024261,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_2,strict_frozen,simple_ensemble_rate_limited,0.170490425362571,low,276.45289770054217,2064.6540717954404,13.301655180121308,0.0,0.0,2354.4086246761044,0.673379774366679,9.873317775019364,0.0,0.0,357.5756455686171,0.5714285714285714,266.0331036024261,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_2,strict_frozen,best_single_model_rate_limited,0.1821717954200668,low,314.54412806156995,3262.7626895014205,9.102306434422346,0.0,0.0,3586.4091239974127,0.5654022838069299,11.23371885934178,0.0,0.0,632.3312396946661,0.6428571428571429,182.0461286884469,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_2,strict_frozen,operationally_weighted_ensemble,0.170490425362571,low,276.45289770054217,2064.6540717954404,13.301655180121308,0.0,0.0,2354.4086246761044,0.673379774366679,9.873317775019364,0.0,0.0,357.5756455686171,0.5714285714285714,266.0331036024261,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_3,strict_frozen,accuracy_first,0.1323441967489679,low,469.2197189934692,750.3513871278786,16.536560306219705,0.0,0.0,1236.107666427568,0.8832137918867115,16.757847106909615,0.0,0.0,159.0592207617492,0.3214285714285714,330.7312061243941,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_3,strict_frozen,accuracy_rate_limited,0.1323441967489679,low,469.2197189934692,750.3513871278786,16.536560306219705,0.0,0.0,1236.107666427568,0.8832137918867115,16.757847106909615,0.0,0.0,159.0592207617492,0.3214285714285714,330.7312061243941,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_3,strict_frozen,simple_ensemble,0.1329822604981499,low,413.5934457790445,921.7093965218248,18.935836044869426,0.0,0.0,1354.238678345739,0.8577748124968507,14.771194492108734,0.0,0.0,239.9620433361572,0.2857142857142857,378.7167208973885,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
