planning_unit,regime,beam_width,rounding_multiplier,baseline_cost,approximate_dp_cost,relative_cost_change_pct
FOODS_2_360__WI_2,long_lead,48,0.05,61689.34586356027,36850.50944102033,-40.264386134806095
FOODS_2_360__WI_2,long_lead,48,0.1,61689.34586356027,36850.50944102033,-40.264386134806095
FOODS_2_360__WI_2,long_lead,48,0.2,61689.34586356027,36850.50944102033,-40.264386134806095
FOODS_2_360__WI_2,long_lead,96,0.05,61689.34586356027,35790.4380124489,-41.98278890554711
FOODS_2_360__WI_2,long_lead,96,0.1,61689.34586356027,35790.4380124489,-41.98278890554711
FOODS_2_360__WI_2,long_lead,96,0.2,61689.34586356027,35790.4380124489,-41.98278890554711
FOODS_2_360__WI_2,long_lead,192,0.05,61689.34586356027,38070.16122673462,-38.28729954288175
FOODS_2_360__WI_2,long_lead,192,0.1,61689.34586356027,38070.16122673462,-38.28729954288175
FOODS_2_360__WI_2,long_lead,192,0.2,61689.34586356027,43077.49716423462,-30.1702805221665
FOODS_2_360__WI_2,tight_capacity,48,0.05,61237.08913899668,58122.032017495476,-5.08687980650192
FOODS_2_360__WI_2,tight_capacity,48,0.1,61237.08913899668,58122.032017495476,-5.08687980650192
FOODS_2_360__WI_2,tight_capacity,48,0.2,61237.08913899668,58122.032017495476,-5.08687980650192
FOODS_2_360__WI_2,tight_capacity,96,0.05,61237.08913899668,58122.032017495476,-5.08687980650192
FOODS_2_360__WI_2,tight_capacity,96,0.1,61237.08913899668,58122.032017495476,-5.08687980650192
FOODS_2_360__WI_2,tight_capacity,96,0.2,61237.08913899668,58122.032017495476,-5.08687980650192
FOODS_2_360__WI_2,tight_capacity,192,0.05,61237.08913899668,56245.98149028204,-8.15046521461162
FOODS_2_360__WI_2,tight_capacity,192,0.1,61237.08913899668,56245.98149028204,-8.15046521461162
FOODS_2_360__WI_2,tight_capacity,192,0.2,61237.08913899668,56245.48149028204,-8.151281713251628
FOODS_3_007__WI_2,long_lead,48,0.05,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,48,0.1,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,48,0.2,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,96,0.05,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,96,0.1,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,96,0.2,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,192,0.05,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,192,0.1,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,long_lead,192,0.2,52782.8625,52785.8625,0.005683662950261555
FOODS_3_007__WI_2,tight_capacity,48,0.05,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,48,0.1,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,48,0.2,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,96,0.05,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,96,0.1,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,96,0.2,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,192,0.05,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,192,0.1,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_007__WI_2,tight_capacity,192,0.2,52888.837499999994,52891.837499999994,0.005672274418964116
FOODS_3_030__TX_2,long_lead,48,0.05,2099.587227957393,3930.4189871651793,87.19960451411828
FOODS_3_030__TX_2,long_lead,48,0.1,2099.587227957393,3930.4189871651793,87.19960451411828
FOODS_3_030__TX_2,long_lead,48,0.2,2099.587227957393,3930.4189871651793,87.19960451411828
FOODS_3_030__TX_2,long_lead,96,0.05,2099.587227957393,4053.8373756442593,93.07782604431634
FOODS_3_030__TX_2,long_lead,96,0.1,2099.587227957393,4286.520533671867,104.16015474822909
FOODS_3_030__TX_2,long_lead,96,0.2,2099.587227957393,4286.520533671867,104.16015474822909
FOODS_3_030__TX_2,long_lead,192,0.05,2099.587227957393,4097.611936873265,95.162738766499
FOODS_3_030__TX_2,long_lead,192,0.1,2099.587227957393,4286.520533671867,104.16015474822909
FOODS_3_030__TX_2,long_lead,192,0.2,2099.587227957393,4286.520533671867,104.16015474822909
FOODS_3_030__TX_2,tight_capacity,48,0.05,7966.581820994932,8956.763809582082,12.4291949902234
FOODS_3_030__TX_2,tight_capacity,48,0.1,7966.581820994932,8956.763809582082,12.4291949902234
FOODS_3_030__TX_2,tight_capacity,48,0.2,7966.581820994932,8956.763809582082,12.4291949902234
FOODS_3_030__TX_2,tight_capacity,96,0.05,7966.581820994932,7898.523035189374,-0.8543034809006466
FOODS_3_030__TX_2,tight_capacity,96,0.1,7966.581820994932,7898.523035189374,-0.8543034809006466
FOODS_3_030__TX_2,tight_capacity,96,0.2,7966.581820994932,7898.523035189374,-0.8543034809006466
FOODS_3_030__TX_2,tight_capacity,192,0.05,7966.581820994932,7898.523035189374,-0.8543034809006466
FOODS_3_030__TX_2,tight_capacity,192,0.1,7966.581820994932,7898.523035189374,-0.8543034809006466
FOODS_3_030__TX_2,tight_capacity,192,0.2,7966.581820994932,7898.523035189374,-0.8543034809006466
FOODS_3_030__TX_3,long_lead,48,0.05,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,48,0.1,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,48,0.2,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,96,0.05,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,96,0.1,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,96,0.2,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,192,0.05,1622.610499234392,1367.1561850520106,-15.743415582662267
FOODS_3_030__TX_3,long_lead,192,0.1,1622.610499234392,1602.293023090158,-1.2521474595302151
FOODS_3_030__TX_3,long_lead,192,0.2,1622.610499234392,1614.765068970735,-0.4835066867469842
FOODS_3_030__TX_3,tight_capacity,48,0.05,2087.3427770703124,1947.7503749999996,-6.687564860153806
FOODS_3_030__TX_3,tight_capacity,48,0.1,2087.3427770703124,2215.4210699411697,6.13594922107721
FOODS_3_030__TX_3,tight_capacity,48,0.2,2087.3427770703124,2641.599760914063,26.553232652170212
FOODS_3_030__TX_3,tight_capacity,96,0.05,2087.3427770703124,2641.599760914063,26.553232652170212
FOODS_3_030__TX_3,tight_capacity,96,0.1,2087.3427770703124,2641.599760914063,26.553232652170212
FOODS_3_030__TX_3,tight_capacity,96,0.2,2087.3427770703124,3543.4196210167,69.75743801840073
FOODS_3_030__TX_3,tight_capacity,192,0.05,2087.3427770703124,3543.9196210167,69.78139191832999
FOODS_3_030__TX_3,tight_capacity,192,0.1,2087.3427770703124,3543.4196210167,69.75743801840073
FOODS_3_030__TX_3,tight_capacity,192,0.2,2087.3427770703124,3543.4196210167,69.75743801840073
FOODS_3_080__CA_1,long_lead,48,0.05,1334.6458954615773,1003.3945481776797,-24.819418274937775
FOODS_3_080__CA_1,long_lead,48,0.1,1334.6458954615773,1003.3945481776797,-24.819418274937775
FOODS_3_080__CA_1,long_lead,48,0.2,1334.6458954615773,1002.3945481776797,-24.894344515928022
FOODS_3_080__CA_1,long_lead,96,0.05,1334.6458954615773,1003.3945481776797,-24.819418274937775
FOODS_3_080__CA_1,long_lead,96,0.1,1334.6458954615773,1003.3945481776797,-24.819418274937775
FOODS_3_080__CA_1,long_lead,96,0.2,1334.6458954615773,1002.3945481776797,-24.894344515928022
FOODS_3_080__CA_1,long_lead,192,0.05,1334.6458954615773,1003.3945481776797,-24.819418274937775
FOODS_3_080__CA_1,long_lead,192,0.1,1334.6458954615773,1003.3945481776797,-24.819418274937775
FOODS_3_080__CA_1,long_lead,192,0.2,1334.6458954615773,1002.3945481776797,-24.894344515928022
FOODS_3_080__CA_1,tight_capacity,48,0.05,4649.154308035713,5295.2147087987305,13.896299368819625
FOODS_3_080__CA_1,tight_capacity,48,0.1,4649.154308035713,4721.819428571427,1.562975021287585
