dataset,unit_id,mechanism,level,strength,simple_reference_cost,approximate_dp_cost,paired_difference,percentage_difference,execution_path_difference,adverse_unit
Walmart,store_041__dept_013,switching_cost,medium,0.05,495980.8101868958,503554.2980373142,7573.487850418431,1.5269719502987595,True,True
Walmart,store_041__dept_013,switching_cost,high,0.2,495980.8101868958,503554.5980373142,7573.787850418419,1.5270324365098844,True,True
Walmart,store_041__dept_092,lead_time,low,0.0,458401.6375743393,367561.16798794083,-90840.46958639845,-19.81678557412806,True,False
Walmart,store_041__dept_092,lead_time,medium,2.0,1249996.8742291788,1382691.4257026373,132694.55147345853,10.615590663399518,True,True
Walmart,store_041__dept_092,lead_time,high,7.0,4599206.12117943,4706557.398116534,107351.27693710383,2.3341262406733456,True,True
Walmart,store_041__dept_092,switching_cost,low,0.0,1249996.8742291788,1382691.025702637,132694.15147345816,10.615558663319469,True,True
Walmart,store_041__dept_092,switching_cost,medium,0.05,1249996.8742291788,1382691.4257026373,132694.55147345853,10.615590663399518,True,True
Walmart,store_041__dept_092,switching_cost,high,0.2,1249996.8742291788,1382692.6257026372,132695.75147345848,10.615686663639575,True,True
Walmart,store_041__dept_095,lead_time,low,0.0,220855.61454230585,237974.62433279876,17119.009790492913,7.751222365784002,True,True
Walmart,store_041__dept_095,lead_time,medium,2.0,614670.167637194,582226.1140927228,-32444.053544471273,-5.278286673515805,True,False
Walmart,store_041__dept_095,lead_time,high,7.0,2968035.6628247644,3125738.4510934316,157702.78826866718,5.313372418125763,True,True
Walmart,store_041__dept_095,switching_cost,low,0.0,614670.167637194,582225.9640927229,-32444.20354447118,-5.278311076847511,True,False
Walmart,store_041__dept_095,switching_cost,medium,0.05,614670.167637194,582226.1140927228,-32444.053544471273,-5.278286673515805,True,False
Walmart,store_041__dept_095,switching_cost,high,0.2,614670.167637194,582226.5640927228,-32443.603544471203,-5.27821346352063,True,False
Walmart,store_042__dept_092,lead_time,low,0.0,339599.58945584897,412650.2009421064,73050.61148625746,21.51080677197188,True,True
Walmart,store_042__dept_092,lead_time,medium,2.0,735581.3305601993,537772.4072309724,-197808.9233292269,-26.89150949203412,True,False
Walmart,store_042__dept_092,lead_time,high,7.0,2841598.42940959,2748714.658441083,-92883.77096850704,-3.268715593561398,True,False
Walmart,store_042__dept_092,switching_cost,low,0.0,735581.3305601993,537772.2072309726,-197809.12332922674,-26.89153668141367,True,False
Walmart,store_042__dept_092,switching_cost,medium,0.05,735581.3305601993,537772.4072309724,-197808.9233292269,-26.89150949203412,True,False
